instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;687619;9;4014;4050.1575;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;354135;7;4021;4053.07;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;354135;8;4031;4058.465;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;354135;9;4009;4043.415;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;839113;7;4030;4074.88;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;839113;8;4016;4058.5175;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;839113;9;4015;4046.14;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;123452;7;4019;4055.615;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;123452;8;4018;4051.915;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;123452;9;4011;4049.7225;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;4354512;7;4021;4049.86;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;4354512;8;4021;4049.86;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;4354512;9;4000;4056.135;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;12345;7;5502;5562.185;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;12345;8;5502;5562.185;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;12345;9;5499;5560.74;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;435451;7;5495;5551.985;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;435451;8;5495;5551.985;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;435451;9;5495;5548.985;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;56162;7;5495;5561.8475;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;56162;8;5495;5561.8475;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;56162;9;5495;5561.8475;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;68813;7;5494;5551.2225;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;68813;8;5493;5551.2225;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;68813;9;5493;5551.2225;;;;;;;;;;
t_j100_m5.txt;0.4;0.75;180;368387;7;5497;5557.685;;;;;;;;;;
